Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,Latitude,Longitude
179772,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,409.0,Southeast Queens,2015,1/1/2015,0.3,,40.6809,-73.7704
179785,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209.0,Bensonhurst - Bay Ridge,2015,1/1/2015,1.2,,40.6111,-74.0125
178540,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2012,12/1/2011,8.6,,40.6111,-74.0125
178561,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Annual Average 2012,12/1/2011,8.0,,40.6809,-73.7704
823217,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Summer 2022,6/1/2022,6.1,,40.6809,-73.7704
177910,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2012,6/1/2012,10.0,,40.6111,-74.0125
177952,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2013,6/1/2013,9.8,,40.6111,-74.0125
177973,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Summer 2013,6/1/2013,9.8,,40.6809,-73.7704
177931,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Summer 2012,6/1/2012,9.6,,40.6809,-73.7704
742274,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Summer 2021,6/1/2021,7.2,,40.5795,-73.8371
178582,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2013,12/1/2012,8.2,,40.6111,-74.0125
178583,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,Annual Average 2013,12/1/2012,8.1,,40.5884,-73.9559
547477,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Annual Average 2017,1/1/2017,6.8,,40.6809,-73.7704
547417,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,Annual Average 2017,1/1/2017,6.8,,40.5884,-73.9559
177784,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2009,6/1/2009,10.6,,40.6111,-74.0125
547414,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2017,1/1/2017,7.1,,40.6111,-74.0125
130413,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,210.0,Coney Island - Sheepshead Bay,2013,1/1/2013,0.9,,40.5884,-73.9559
130412,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209.0,Bensonhurst - Bay Ridge,2013,1/1/2013,1.7,,40.6111,-74.0125
130434,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,410.0,Rockaways,2013,1/1/2013,0.0,,40.5795,-73.8371
410847,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Summer 2016,6/1/2016,6.9,,40.5795,-73.8371
177889,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Summer 2011,6/1/2011,10.8,,40.6809,-73.7704
177932,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Summer 2012,6/1/2012,9.4,,40.5795,-73.8371
410782,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2016,12/31/2015,7.1,,40.6111,-74.0125
177974,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Summer 2013,6/1/2013,9.5,,40.5795,-73.8371
410848,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Annual Average 2016,12/31/2015,6.0,,40.5795,-73.8371
823218,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Winter 2021-22,12/1/2021,6.4,,40.6809,-73.7704
176692,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2013,12/1/2012,18.6,,40.6111,-74.0125
549806,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2017,1/1/2017,17.7,,40.6111,-74.0125
175369,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Winter 2010-11,12/1/2010,25.7,,40.6809,-73.7704
175915,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Summer 2009,6/1/2009,16.1,,40.6809,-73.7704
549872,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Annual Average 2017,1/1/2017,12.7,,40.5795,-73.8371
741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Annual Average 2021,1/1/2021,11.4,,40.5795,-73.8371
175916,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Summer 2009,6/1/2009,8.6,,40.5795,-73.8371
336603,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Winter 2014-15,12/1/2014,20.7,,40.5795,-73.8371
178542,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2012,12/1/2011,9.7,,40.7071,-73.9235
177912,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Summer 2012,6/1/2012,12.3,,40.7071,-73.9235
177954,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Summer 2013,6/1/2013,12.2,,40.7071,-73.9235
334047,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Winter 2014-15,12/1/2014,8.8,,40.7644,-73.7494
177772,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2009,6/1/2009,10.4,,40.837,-73.8274
742215,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2021,1/1/2021,7.2,,40.7071,-73.9235
742257,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Annual Average 2021,1/1/2021,6.3,,40.7644,-73.7494
178588,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Annual Average 2013,12/1/2012,10.4,,40.787,-73.9754
177244,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Winter 2010-11,12/1/2010,14.4,,40.787,-73.9754
410828,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Winter 2015-16,12/1/2015,7.4,,40.7644,-73.7494
177856,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2011,6/1/2011,11.5,,40.837,-73.8274
823275,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Winter 2021-22,12/1/2021,7.4,,40.7071,-73.9235
177916,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Summer 2012,6/1/2012,11.4,,40.787,-73.9754
410800,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Annual Average 2016,12/31/2015,8.5,,40.787,-73.9754
177958,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Summer 2013,6/1/2013,11.4,,40.787,-73.9754
605693,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Annual Average 2018,1/1/2018,7.1,,40.6695,-73.8822
742193,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Summer 2021,6/1/2021,8.3,,40.6695,-73.8822
177905,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Summer 2012,6/1/2012,9.7,,40.6695,-73.8822
