Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,Month,Season
816717,643,Annual vehicle miles traveled,Million miles,per square mile,CD,413.0,Queens Village (CD13),2010,2010-01-01,77.2,,1,Winter
151637,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,208.0,Canarsie - Flatlands,2005,2005-01-01,35.7,,1,Winter
151647,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,307.0,Gramercy Park - Murray Hill,2005,2005-01-01,185.6,,1,Winter
816762,643,Annual vehicle miles traveled,Million miles,per square mile,CD,303.0,Bedford Stuyvesant (CD3),2010,2010-01-01,55.9,,1,Winter
154605,643,Annual vehicle miles traveled,Million miles,per square mile,CD,404.0,Elmhurst and Corona (CD4),2005,2005-01-01,78.0,,1,Winter
154586,643,Annual vehicle miles traveled,Million miles,per square mile,CD,303.0,Bedford Stuyvesant (CD3),2005,2005-01-01,69.4,,1,Winter
154562,643,Annual vehicle miles traveled,Million miles,per square mile,CD,103.0,Lower East Side and Chinatown (CD3),2005,2005-01-01,134.8,,1,Winter
151629,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,107.0,Hunts Point - Mott Haven,2005,2005-01-01,42.7,,1,Winter
816757,643,Annual vehicle miles traveled,Million miles,per square mile,CD,305.0,East New York and Starrett City (CD5),2019,2019-01-01,58.1,,1,Winter
816758,643,Annual vehicle miles traveled,Million miles,per square mile,CD,305.0,East New York and Starrett City (CD5),2010,2010-01-01,51.1,,1,Winter
816805,643,Annual vehicle miles traveled,Million miles,per square mile,CD,105.0,Midtown (CD5),2019,2019-01-01,94.8,,1,Winter
816806,643,Annual vehicle miles traveled,Million miles,per square mile,CD,105.0,Midtown (CD5),2010,2010-01-01,80.6,,1,Winter
816884,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,202.0,Downtown - Heights - Slope,2010,2010-01-01,95.8,,1,Winter
151638,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,209.0,Bensonhurst - Bay Ridge,2005,2005-01-01,47.4,,1,Winter
151660,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,410.0,Rockaways,2005,2005-01-01,13.7,,1,Winter
816787,643,Annual vehicle miles traveled,Million miles,per square mile,CD,202.0,Hunts Point and Longwood (CD2),2019,2019-01-01,51.4,,1,Winter
154573,643,Annual vehicle miles traveled,Million miles,per square mile,CD,202.0,Hunts Point and Longwood (CD2),2005,2005-01-01,37.9,,1,Winter
154602,643,Annual vehicle miles traveled,Million miles,per square mile,CD,401.0,Long Island City and Astoria (CD1),2005,2005-01-01,33.6,,1,Winter
151635,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,206.0,Borough Park,2005,2005-01-01,57.8,,1,Winter
816903,643,Annual vehicle miles traveled,Million miles,per square mile,Borough,4.0,Queens,2019,2019-01-01,57.5,,1,Winter
151626,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,104.0,Pelham - Throgs Neck,2005,2005-01-01,41.2,,1,Winter
816753,643,Annual vehicle miles traveled,Million miles,per square mile,CD,307.0,Sunset Park (CD7),2019,2019-01-01,120.7,,1,Winter
816777,643,Annual vehicle miles traveled,Million miles,per square mile,CD,207.0,Kingsbridge Heights and Bedford (CD7),2019,2019-01-01,70.5,,1,Winter
154566,643,Annual vehicle miles traveled,Million miles,per square mile,CD,107.0,Upper West Side (CD7),2005,2005-01-01,104.6,,1,Winter
154615,643,Annual vehicle miles traveled,Million miles,per square mile,CD,414.0,Rockaway and Broad Channel (CD14),2005,2005-01-01,13.8,,1,Winter
154608,643,Annual vehicle miles traveled,Million miles,per square mile,CD,407.0,Flushing and Whitestone (CD7),2005,2005-01-01,38.1,,1,Winter
154590,643,Annual vehicle miles traveled,Million miles,per square mile,CD,307.0,Sunset Park (CD7),2005,2005-01-01,69.8,,1,Winter
151627,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,105.0,Crotona -Tremont,2005,2005-01-01,80.2,,1,Winter
151643,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,303.0,East Harlem,2005,2005-01-01,108.9,,1,Winter
816755,643,Annual vehicle miles traveled,Million miles,per square mile,CD,306.0,Park Slope and Carroll Gardens (CD6),2019,2019-01-01,93.0,,1,Winter
816756,643,Annual vehicle miles traveled,Million miles,per square mile,CD,306.0,Park Slope and Carroll Gardens (CD6),2010,2010-01-01,66.7,,1,Winter
816804,643,Annual vehicle miles traveled,Million miles,per square mile,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),2010,2010-01-01,178.6,,1,Winter
816803,643,Annual vehicle miles traveled,Million miles,per square mile,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),2019,2019-01-01,191.2,,1,Winter
816751,643,Annual vehicle miles traveled,Million miles,per square mile,CD,308.0,Crown Heights and Prospect Heights (CD8),2019,2019-01-01,88.1,,1,Winter
154591,643,Annual vehicle miles traveled,Million miles,per square mile,CD,308.0,Crown Heights and Prospect Heights (CD8),2005,2005-01-01,72.1,,1,Winter
816856,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,305.0,Upper East Side,2010,2010-01-01,129.3,,1,Winter
816898,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,102.0,Northeast Bronx,2010,2010-01-01,43.0,,1,Winter
816883,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,202.0,Downtown - Heights - Slope,2019,2019-01-01,126.8,,1,Winter
816862,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,302.0,Central Harlem - Morningside Heights,2010,2010-01-01,95.5,,1,Winter
816715,643,Annual vehicle miles traveled,Million miles,per square mile,CD,412.0,Jamaica and Hollis (CD12),2010,2010-01-01,44.4,,1,Winter
816716,643,Annual vehicle miles traveled,Million miles,per square mile,CD,412.0,Jamaica and Hollis (CD12),2019,2019-01-01,39.3,,1,Winter
816768,643,Annual vehicle miles traveled,Million miles,per square mile,CD,212.0,Williamsbridge and Baychester (CD12),2010,2010-01-01,48.2,,1,Winter
816767,643,Annual vehicle miles traveled,Million miles,per square mile,CD,212.0,Williamsbridge and Baychester (CD12),2019,2019-01-01,54.8,,1,Winter
154613,643,Annual vehicle miles traveled,Million miles,per square mile,CD,412.0,Jamaica and Hollis (CD12),2005,2005-01-01,41.6,,1,Winter
154583,643,Annual vehicle miles traveled,Million miles,per square mile,CD,212.0,Williamsbridge and Baychester (CD12),2005,2005-01-01,43.6,,1,Winter
154581,643,Annual vehicle miles traveled,Million miles,per square mile,CD,210.0,Throgs Neck and Co-op City (CD10),2005,2005-01-01,43.8,,1,Winter
154611,643,Annual vehicle miles traveled,Million miles,per square mile,CD,410.0,South Ozone Park and Howard Beach (CD10),2005,2005-01-01,55.6,,1,Winter
154571,643,Annual vehicle miles traveled,Million miles,per square mile,CD,112.0,Washington Heights and Inwood (CD12),2005,2005-01-01,90.9,,1,Winter
151661,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,501.0,Port Richmond,2005,2005-01-01,17.6,,1,Winter
816864,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,301.0,Washington Heights,2010,2010-01-01,115.9,,1,Winter
151670,643,Annual vehicle miles traveled,Million miles,per square mile,Borough,5.0,Staten Island,2005,2005-01-01,20.8,,1,Winter
154597,643,Annual vehicle miles traveled,Million miles,per square mile,CD,314.0,Flatbush and Midwood (CD14),2005,2005-01-01,66.4,,1,Winter
154578,643,Annual vehicle miles traveled,Million miles,per square mile,CD,207.0,Kingsbridge Heights and Bedford (CD7),2005,2005-01-01,73.4,,1,Winter
816719,643,Annual vehicle miles traveled,Million miles,per square mile,CD,414.0,Rockaway and Broad Channel (CD14),2010,2010-01-01,16.9,,1,Winter
816880,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,204.0,East New York,2010,2010-01-01,47.5,,1,Winter
816894,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,104.0,Pelham - Throgs Neck,2010,2010-01-01,59.7,,1,Winter
816802,643,Annual vehicle miles traveled,Million miles,per square mile,CD,107.0,Upper West Side (CD7),2010,2010-01-01,127.1,,1,Winter
816720,643,Annual vehicle miles traveled,Million miles,per square mile,CD,414.0,Rockaway and Broad Channel (CD14),2019,2019-01-01,15.1,,1,Winter
816842,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,402.0,West Queens,2010,2010-01-01,111.6,,1,Winter
154592,643,Annual vehicle miles traveled,Million miles,per square mile,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),2005,2005-01-01,77.0,,1,Winter
816709,643,Annual vehicle miles traveled,Million miles,per square mile,CD,409.0,Kew Gardens and Woodhaven (CD9),2010,2010-01-01,55.8,,1,Winter
816710,643,Annual vehicle miles traveled,Million miles,per square mile,CD,409.0,Kew Gardens and Woodhaven (CD9),2019,2019-01-01,48.0,,1,Winter
816798,643,Annual vehicle miles traveled,Million miles,per square mile,CD,109.0,Morningside Heights and Hamilton Heights (CD9),2010,2010-01-01,115.6,,1,Winter
816746,643,Annual vehicle miles traveled,Million miles,per square mile,CD,311.0,Bensonhurst (CD11),2010,2010-01-01,44.1,,1,Winter
816825,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,410.0,Rockaways,2019,2019-01-01,14.0,,1,Winter
151649,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,309.0,Union Square - Lower East Side,2005,2005-01-01,123.8,,1,Winter
151639,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,210.0,Coney Island - Sheepshead Bay,2005,2005-01-01,35.8,,1,Winter
151650,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,310.0,Lower Manhattan,2005,2005-01-01,95.4,,1,Winter
816828,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,409.0,Southeast Queens,2010,2010-01-01,70.5,,1,Winter
816827,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,409.0,Southeast Queens,2019,2019-01-01,67.1,,1,Winter
816869,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,209.0,Bensonhurst - Bay Ridge,2019,2019-01-01,67.8,,1,Winter
154560,643,Annual vehicle miles traveled,Million miles,per square mile,CD,101.0,Financial District (CD1),2005,2005-01-01,98.4,,1,Winter
816905,643,Annual vehicle miles traveled,Million miles,per square mile,Borough,3.0,Manhattan,2019,2019-01-01,129.5,,1,Winter
816846,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,310.0,Lower Manhattan,2010,2010-01-01,91.5,,1,Winter
816889,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,106.0,High Bridge - Morrisania,2019,2019-01-01,81.6,,1,Winter
816764,643,Annual vehicle miles traveled,Million miles,per square mile,CD,302.0,Fort Greene and Brooklyn Heights (CD2),2010,2010-01-01,110.7,,1,Winter
151634,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,205.0,Sunset Park,2005,2005-01-01,59.9,,1,Winter
816840,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,403.0,Flushing - Clearview,2010,2010-01-01,53.1,,1,Winter
816704,643,Annual vehicle miles traveled,Million miles,per square mile,CD,406.0,Rego Park and Forest Hills (CD6),2019,2019-01-01,92.1,,1,Winter
816878,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,205.0,Sunset Park,2010,2010-01-01,73.4,,1,Winter
151630,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,201.0,Greenpoint,2005,2005-01-01,63.2,,1,Winter
151641,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,301.0,Washington Heights,2005,2005-01-01,88.6,,1,Winter
816885,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,201.0,Greenpoint,2019,2019-01-01,88.6,,1,Winter
816886,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,201.0,Greenpoint,2010,2010-01-01,70.7,,1,Winter
154569,643,Annual vehicle miles traveled,Million miles,per square mile,CD,110.0,Central Harlem (CD10),2005,2005-01-01,64.5,,1,Winter
154567,643,Annual vehicle miles traveled,Million miles,per square mile,CD,108.0,Upper East Side (CD8),2005,2005-01-01,139.0,,1,Winter
154593,643,Annual vehicle miles traveled,Million miles,per square mile,CD,310.0,Bay Ridge and Dyker Heights (CD10),2005,2005-01-01,58.4,,1,Winter
816712,643,Annual vehicle miles traveled,Million miles,per square mile,CD,410.0,South Ozone Park and Howard Beach (CD10),2019,2019-01-01,76.8,,1,Winter
