Start_Date,Name,Data Value,Season
2015-01-01,Boiler Emissions- Total SO2 Emissions,0.3,Winter
2015-01-01,Boiler Emissions- Total SO2 Emissions,1.2,Winter
2011-12-01,Fine particles (PM 2.5),8.6,Winter
2011-12-01,Fine particles (PM 2.5),8.0,Winter
2022-06-01,Fine particles (PM 2.5),6.1,Summer
2012-06-01,Fine particles (PM 2.5),10.0,Summer
2013-06-01,Fine particles (PM 2.5),9.8,Summer
2013-06-01,Fine particles (PM 2.5),9.8,Summer
2012-06-01,Fine particles (PM 2.5),9.6,Summer
2021-06-01,Fine particles (PM 2.5),7.2,Summer
2012-12-01,Fine particles (PM 2.5),8.2,Winter
2012-12-01,Fine particles (PM 2.5),8.1,Winter
2017-01-01,Fine particles (PM 2.5),6.8,Winter
2017-01-01,Fine particles (PM 2.5),6.8,Winter
2009-06-01,Fine particles (PM 2.5),10.6,Summer
2017-01-01,Fine particles (PM 2.5),7.1,Winter
2013-01-01,Boiler Emissions- Total SO2 Emissions,0.9,Winter
2013-01-01,Boiler Emissions- Total SO2 Emissions,1.7,Winter
2013-01-01,Boiler Emissions- Total SO2 Emissions,0.0,Winter
2016-06-01,Fine particles (PM 2.5),6.9,Summer
2011-06-01,Fine particles (PM 2.5),10.8,Summer
2012-06-01,Fine particles (PM 2.5),9.4,Summer
2015-12-31,Fine particles (PM 2.5),7.1,Winter
2013-06-01,Fine particles (PM 2.5),9.5,Summer
2015-12-31,Fine particles (PM 2.5),6.0,Winter
2021-12-01,Fine particles (PM 2.5),6.4,Winter
2012-12-01,Nitrogen dioxide (NO2),18.6,Winter
2017-01-01,Nitrogen dioxide (NO2),17.7,Winter
2010-12-01,Nitrogen dioxide (NO2),25.7,Winter
2009-06-01,Nitrogen dioxide (NO2),16.1,Summer
2017-01-01,Nitrogen dioxide (NO2),12.7,Winter
2021-01-01,Nitrogen dioxide (NO2),11.4,Winter
2009-06-01,Nitrogen dioxide (NO2),8.6,Summer
2014-12-01,Nitrogen dioxide (NO2),20.7,Winter
2011-12-01,Fine particles (PM 2.5),9.7,Winter
2012-06-01,Fine particles (PM 2.5),12.3,Summer
2013-06-01,Fine particles (PM 2.5),12.2,Summer
2014-12-01,Fine particles (PM 2.5),8.8,Winter
2009-06-01,Fine particles (PM 2.5),10.4,Summer
2021-01-01,Fine particles (PM 2.5),7.2,Winter
2021-01-01,Fine particles (PM 2.5),6.3,Winter
2012-12-01,Fine particles (PM 2.5),10.4,Winter
2010-12-01,Fine particles (PM 2.5),14.4,Winter
2015-12-01,Fine particles (PM 2.5),7.4,Winter
2011-06-01,Fine particles (PM 2.5),11.5,Summer
2021-12-01,Fine particles (PM 2.5),7.4,Winter
2012-06-01,Fine particles (PM 2.5),11.4,Summer
2015-12-31,Fine particles (PM 2.5),8.5,Winter
2013-06-01,Fine particles (PM 2.5),11.4,Summer
2018-01-01,Fine particles (PM 2.5),7.1,Winter
2021-06-01,Fine particles (PM 2.5),8.3,Summer
2012-06-01,Fine particles (PM 2.5),9.7,Summer
2010-12-01,Nitrogen dioxide (NO2),33.7,Winter
2012-12-01,Nitrogen dioxide (NO2),26.5,Winter
2010-12-01,Nitrogen dioxide (NO2),26.2,Winter
2009-06-01,Nitrogen dioxide (NO2),23.1,Summer
2017-01-01,Nitrogen dioxide (NO2),16.6,Winter
2021-01-01,Nitrogen dioxide (NO2),19.0,Winter
2017-01-01,Nitrogen dioxide (NO2),23.4,Winter
2011-12-01,Nitrogen dioxide (NO2),27.1,Winter
2015-12-31,Fine particles (PM 2.5),7.8,Winter
2021-06-01,Fine particles (PM 2.5),9.2,Summer
2012-06-01,Fine particles (PM 2.5),10.3,Summer
2013-06-01,Fine particles (PM 2.5),10.3,Summer
2021-12-01,Fine particles (PM 2.5),6.7,Winter
2021-06-01,Fine particles (PM 2.5),8.5,Summer
2021-12-01,Fine particles (PM 2.5),7.2,Winter
2014-12-01,Fine particles (PM 2.5),8.2,Winter
2021-06-01,Fine particles (PM 2.5),8.0,Summer
2017-01-01,Fine particles (PM 2.5),7.0,Winter
2021-01-01,Fine particles (PM 2.5),6.4,Winter
2017-01-01,Fine particles (PM 2.5),10.3,Winter
2021-01-01,Fine particles (PM 2.5),8.2,Winter
2018-01-01,Fine particles (PM 2.5),7.9,Winter
2018-01-01,Fine particles (PM 2.5),10.3,Winter
2018-01-01,Fine particles (PM 2.5),6.6,Winter
2013-06-01,Fine particles (PM 2.5),12.0,Summer
2017-01-01,Nitrogen dioxide (NO2),15.6,Winter
2017-01-01,Nitrogen dioxide (NO2),30.3,Winter
2012-12-01,Nitrogen dioxide (NO2),19.0,Winter
2009-06-01,Nitrogen dioxide (NO2),31.6,Summer
2014-12-01,Nitrogen dioxide (NO2),30.2,Winter
2017-01-01,Nitrogen dioxide (NO2),25.6,Winter
2009-06-01,Nitrogen dioxide (NO2),18.6,Summer
2021-06-01,Fine particles (PM 2.5),10.2,Summer
2012-06-01,Fine particles (PM 2.5),10.4,Summer
2013-06-01,Fine particles (PM 2.5),10.3,Summer
2015-12-31,Fine particles (PM 2.5),7.8,Winter
2021-12-01,Fine particles (PM 2.5),6.4,Winter
2014-12-01,Fine particles (PM 2.5),10.1,Winter
2017-01-01,Fine particles (PM 2.5),8.4,Winter
2012-12-01,Fine particles (PM 2.5),9.5,Winter
2009-06-01,Fine particles (PM 2.5),11.0,Summer
2017-01-01,Fine particles (PM 2.5),7.8,Winter
2010-12-01,Fine particles (PM 2.5),13.4,Winter
2014-06-01,Fine particles (PM 2.5),12.4,Summer
2022-06-01,Nitrogen dioxide (NO2),10.5,Summer
2015-12-31,Nitrogen dioxide (NO2),30.1,Winter
2012-06-01,Nitrogen dioxide (NO2),16.2,Summer
2021-06-01,Nitrogen dioxide (NO2),17.9,Summer
2021-12-01,Nitrogen dioxide (NO2),24.7,Winter
2013-06-01,Fine particles (PM 2.5),10.4,Summer
2017-01-01,Fine particles (PM 2.5),9.0,Winter
2013-06-01,Fine particles (PM 2.5),11.5,Summer
2021-12-01,Fine particles (PM 2.5),7.4,Winter
2017-01-01,Nitrogen dioxide (NO2),21.2,Winter
2017-01-01,Nitrogen dioxide (NO2),20.6,Winter
2010-12-01,Nitrogen dioxide (NO2),31.5,Winter
2022-06-01,Nitrogen dioxide (NO2),14.1,Summer
2022-06-01,Nitrogen dioxide (NO2),13.5,Summer
2021-12-01,Fine particles (PM 2.5),7.3,Winter
2015-12-31,Fine particles (PM 2.5),7.3,Winter
2018-01-01,Fine particles (PM 2.5),7.0,Winter
2014-12-01,Fine particles (PM 2.5),8.5,Winter
2014-12-01,Fine particles (PM 2.5),10.0,Winter
2017-01-01,Fine particles (PM 2.5),8.2,Winter
2012-12-01,Fine particles (PM 2.5),9.4,Winter
2021-12-01,Nitrogen dioxide (NO2),23.7,Winter
2015-12-31,Nitrogen dioxide (NO2),19.9,Winter
2021-12-01,Nitrogen dioxide (NO2),21.2,Winter
2012-12-01,Nitrogen dioxide (NO2),22.9,Winter
2010-12-01,Nitrogen dioxide (NO2),32.2,Winter
2014-12-01,Nitrogen dioxide (NO2),26.8,Winter
2017-01-01,Fine particles (PM 2.5),7.5,Winter
2021-01-01,Fine particles (PM 2.5),6.5,Winter
2010-12-01,Fine particles (PM 2.5),13.1,Winter
2009-06-01,Fine particles (PM 2.5),10.2,Summer
2021-06-01,Fine particles (PM 2.5),8.4,Summer
2021-12-01,Fine particles (PM 2.5),6.6,Winter
2015-12-31,Fine particles (PM 2.5),6.9,Winter
2018-01-01,Fine particles (PM 2.5),6.9,Winter
2021-06-01,Fine particles (PM 2.5),7.8,Summer
2012-06-01,Fine particles (PM 2.5),10.0,Summer
2013-06-01,Fine particles (PM 2.5),10.1,Summer
